날짜,도매지역,총거래물량,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심신적설(cm)
2021-01-03,광주,355746.0,-2.5431096681096683,-6.312046356421357,1.4238410894660896,0.029090909090909,0.0005681818181818,4.606050234487735,2.0639344336219336,49.80629283910534,5.454814664502164,4.917827065295815,0.0005681818181818
2021-01-04,광주,665204.0,-1.0229166666666667,-6.567388618326118,4.374734397546898,0.3483928571428571,0.0171875,3.593960137085137,1.417158189033189,57.952047258297256,6.576741071428572,4.920472086940837,0.0015625
2021-01-05,광주,801221.0,-1.5357178932178932,-6.237443632756133,2.4151316738816737,0.834854301948052,0.0559050324675324,5.613722943722944,2.618198502886002,54.47032016594517,5.597166756854257,4.695438492063492,0.0114772727272727
2021-01-06,광주,567500.0,-4.517515782828283,-9.188672438672436,-0.0429148629148629,1.8007000811688312,1.1667410714285715,6.734250992063492,2.482922077922078,56.40609172077922,7.938228715728716,5.989727633477633,1.454180194805195
2021-01-07,광주,546628.0,-9.942715548340548,-13.558228715728715,-3.288547077922078,3.0014921536796537,1.3660141594516595,8.175580357142858,4.25734623015873,51.67549016955267,6.3179090007215,4.797125,1.1307589285714286
2021-01-08,광주,201980.0,-11.34912427849928,-15.309387626262629,-6.753786075036075,1.2148863636363636,0.3917126623376623,5.828667929292929,3.012367875180375,51.24201253607504,8.107944624819625,6.217835858585858,0.3017451298701299
2021-01-09,광주,93220.0,-9.20970734126984,-14.220867604617606,-3.952675865800866,1.0432934253246753,0.3462297077922078,5.664054383116883,2.7044007034632034,53.932031475468975,7.9771527777777775,5.960645743145744,0.2333400974025974
2021-01-10,광주,172784.0,-5.897805735930736,-12.070281836219335,-0.2086715367965368,0.6479931006493507,0.0531655844155844,3.9084117965367966,1.7203751803751803,59.6198290945166,6.463063672438673,5.39861286976912,0.0405844155844155
2021-01-11,광주,252348.0,-4.345956439393939,-8.097021554834054,-0.7113672438672438,0.4509334415584415,0.3950892857142857,3.428249007936508,1.3055271464646463,66.38693317099568,0.6179599567099567,2.728259289321789,0.0826298701298701
2021-01-12,광주,89864.0,-1.8291175144300145,-7.596175595238096,3.165608766233766,2.029507305194805,0.6730316558441558,4.436677489177489,1.7490886544011546,70.11282918470418,6.156887175324675,5.097786525974025,0.8295535714285714
2021-01-13,광주,504332.0,3.8979748376623378,-2.915305284992785,10.147180284992784,0.11275,0.0036363636363636,5.518692279942281,2.318734668109668,69.06998015873016,7.395459054834054,5.543921987734488,0.0011363636363636
2021-01-14,광주,361416.0,4.139349747474747,-1.4446225649350648,10.876457882395382,0.0,0.0,3.754665404040404,1.4689488636363637,59.1706930916306,8.332579365079365,6.082655122655122,0.0
2021-01-15,광주,601748.0,6.993409541847042,0.3821176046176047,13.574266774891775,0.0399289772727272,0.0432670454545454,6.466808712121212,2.6363821248196246,70.13333513708514,2.741531385281385,3.382869273088023,0.0
2021-01-16,광주,748584.0,-0.1433441558441558,-3.962568993506493,4.901415494227995,0.0864123376623376,0.2045454545454545,5.866157106782107,3.4201785714285715,55.64108766233766,6.850281836219336,5.6488003246753244,0.1522727272727272
2021-01-17,광주,861726.0,-2.9439565295815298,-6.906328914141414,0.8780663780663782,1.4158299512987014,0.256278409090909,5.720542929292929,2.726707702020202,51.82422619047619,7.816833964646465,6.508717306998557,0.1522727272727272
2021-01-18,광주,974868.0,-1.1058743686868686,-5.480343163780664,4.027581168831169,2.7017146464646467,1.4691941738816738,7.5733170995671,3.038655303030303,64.87799783549784,3.496492604617605,3.5232237554112555,1.1796063311688312
2021-01-19,광주,637848.0,-3.912287608225108,-8.915489718614719,1.8030974927849928,0.1830113636363636,0.0039772727272727,4.297764700577201,1.7355059523809524,48.29789637445887,8.980156475468975,7.065446563852814,0.0051136363636363
